iter	Passed	Remaining
545	9392	7809
546	9405	7789
547	9419	7769
548	9434	7749
549	9445	7728
550	9458	7707
551	9471	7686
552	9484	7666
553	9499	7647
554	9511	7626
555	9525	7606
556	9539	7586
557	9551	7565
558	9564	7545
559	9576	7524
560	9588	7503
561	9609	7488
562	9623	7469
563	9635	7448
564	9647	7427
565	9659	7406
566	9675	7388
567	9688	7368
568	9704	7350
569	9720	7332
570	9732	7312
571	9746	7292
572	9759	7272
573	9772	7252
574	9785	7232
575	9799	7213
576	9813	7194
577	9830	7177
578	9843	7157
579	9855	7137
580	9870	7118
581	9885	7099
582	9910	7088
583	9927	7071
584	9942	7053
585	9954	7032
586	9968	7013
587	9980	6993
588	9998	6976
589	10015	6959
590	10027	6939
591	10041	6920
592	10054	6900
593	10067	6880
594	10079	6860
595	10094	6842
596	10108	6823
597	10121	6804
598	10135	6785
599	10148	6765
600	10162	6747
601	10174	6726
602	10188	6707
603	10205	6691
604	10220	6673
605	10235	6654
606	10248	6635
607	10261	6616
608	10274	6596
609	10287	6577
610	10301	6558
611	10313	6538
612	10329	6520
613	10342	6502
614	10355	6482
615	10367	6462
616	10379	6443
617	10396	6426
618	10411	6408
619	10424	6389
620	10438	6370
621	10451	6351
622	10465	6333
623	10479	6314
624	10493	6295
625	10505	6276
626	10517	6257
627	10534	6240
628	10550	6222
629	10562	6203
630	10574	6183
631	10589	6165
632	10600	6146
633	10613	6127
634	10625	6107
635	10639	6089
636	10655	6072
637	10667	6052
638	10681	6034
639	10696	6016
640	10709	5998
641	10722	5979
642	10737	5961
643	10750	5942
644	10762	5923
645	10775	5905
646	10789	5886
647	10806	5870
648	10819	5851
649	10833	5833
650	10846	5814
651	10860	5796
652	10877	5780
653	10893	5763
654	10906	5744
655	10920	5726
656	10934	5708
657	10949	5690
658	10961	5671
659	10976	5654
660	10990	5636
661	11005	5618
662	11017	5600
663	11031	5581
664	11043	5563
665	11056	5544
666	11069	5526
667	11085	5509
668	11097	5490
669	11110	5472
670	11123	5454
671	11137	5436
672	11149	5417
673	11161	5398
674	11174	5380
675	11193	5365
676	11215	5350
677	11229	5332
678	11242	5314
679	11254	5296
680	11268	5278
681	11281	5260
682	11295	5242
683	11309	5224
684	11321	5206
685	11334	5188
686	11347	5170
687	11360	5151
688	11374	5134
689	11388	5116
690	11400	5098
691	11412	5079
692	11426	5061
693	11439	5044
694	11451	5025
695	11464	5007
696	11477	4989
697	11491	4972
698	11505	4954
699	11519	4936
700	11533	4919
701	11547	4902
702	11559	4883
703	11574	4866
704	11587	4848
705	11604	4832
706	11619	4815
707	11632	4797
708	11645	4779
709	11657	4761
710	11671	4744
711	11687	4727
712	11702	4710
713	11716	4693
714	11729	4675
715	11742	4657
716	11755	4639
717	11769	4622
718	11782	4604
719	11794	4586
720	11807	4569
721	11820	4551
722	11834	4534
723	11845	4515
724	11859	4498
725	11874	4481
726	11886	4463
727	11900	4446
728	11914	4429
729	11928	4411
730	11940	4394
731	11953	4376
732	11967	4359
733	11980	4341
734	11992	4323
735	12010	4308
736	12024	4290
737	12039	4274
738	12052	4256
739	12066	4239
740	12080	4222
741	12092	4204
742	12105	4187
743	12117	4169
744	12131	4152
745	12143	4134
746	12157	4117
747	12173	4101
748	12187	4084
749	12199	4066
750	12212	4049
751	12225	4031
752	12238	4014
753	12252	3997
754	12265	3980
755	12277	3962
756	12289	3944
757	12302	3927
758	12315	3910
759	12328	3893
760	12340	3875
761	12354	3858
762	12368	3841
763	12379	3824
764	12393	3807
765	12412	3791
766	12425	3774
767	12437	3757
768	12451	3740
769	12465	3723
770	12478	3706
771	12491	3689
772	12504	3672
773	12516	3654
774	12529	3637
775	12541	3620
776	12556	3603
777	12571	3587
778	12583	3569
779	12597	3553
780	12609	3535
781	12622	3518
782	12635	3501
783	12648	3484
784	12663	3468
785	12676	3451
786	12689	3434
787	12702	3417
788	12715	3400
789	12728	3383
790	12742	3366
791	12755	3349
792	12769	3333
793	12782	3316
794	12795	3299
795	12811	3283
796	12824	3266
797	12837	3249
798	12851	3232
799	12864	3216
800	12877	3199
801	12893	3183
802	12906	3166
803	12919	3149
804	12932	3132
805	12948	3116
806	12962	3100
807	12974	3083
808	12987	3066
809	13001	3049
810	13014	3032
811	13026	3016
812	13040	2999
813	13053	2982
814	13066	2965
815	13079	2949
816	13095	2933
817	13106	2916
818	13120	2899
819	13132	2882
820	13147	2866
821	13161	2850
822	13175	2833
823	13188	2817
824	13206	2801
825	13219	2784
826	13233	2768
827	13247	2751
828	13260	2735
829	13272	2718
830	13285	2701
831	13298	2685
832	13311	2668
833	13323	2651
834	13336	2635
835	13351	2619
836	13363	2602
837	13376	2585
838	13393	2570
839	13407	2553
840	13420	2537
841	13434	2520
842	13448	2504
843	13459	2487
844	13474	2471
845	13488	2455
846	13502	2439
847	13516	2422
848	13532	2406
849	13547	2390
850	13559	2374
851	13572	2357
852	13584	2341
853	13604	2325
854	13623	2310
855	13646	2295
856	13665	2280
857	13679	2264
858	13692	2247
859	13705	2231
860	13723	2215
861	13741	2199
862	13756	2183
863	13770	2167
864	13784	2151
865	13796	2134
866	13810	2118
867	13826	2102
868	13840	2086
869	13852	2069
870	13866	2053
871	13882	2037
872	13900	2022
873	13918	2006
874	13939	1991
875	13957	1975
876	13974	1959
877	13991	1944
878	14009	1928
879	14030	1913
880	14050	1897
881	14067	1882
882	14084	1866
883	14102	1850
884	14120	1834
885	14141	1819
886	14159	1803
887	14180	1788
888	14195	1772
889	14208	1756
890	14222	1739
891	14236	1723
892	14248	1707
893	14263	1691
894	14278	1675
895	14289	1658
896	14303	1642
897	14317	1626
898	14330	1610
899	14344	1593
900	14356	1577
901	14370	1561
902	14382	1544
903	14396	1528
904	14412	1512
905	14432	1497
906	14444	1481
907	14460	1465
908	14475	1449
909	14487	1432
910	14501	1416
911	14515	1400
912	14529	1384
913	14541	1368
914	14556	1352
915	14570	1336
916	14582	1319
917	14595	1303
918	14608	1287
919	14623	1271
920	14639	1255
921	14655	1239
922	14671	1223
923	14683	1207
924	14697	1191
925	14710	1175
926	14725	1159
927	14739	1143
928	14751	1127
929	14764	1111
930	14778	1095
931	14791	1079
932	14803	1063
933	14831	1048
934	14844	1031
935	14860	1016
936	14876	1000
937	14892	984
938	14907	968
939	14928	952
940	14950	937
941	14967	921
942	14979	905
943	14993	889
944	15008	873
945	15024	857
946	15039	841
947	15057	825
948	15072	810
949	15089	794
950	15101	778
951	15116	762
952	15137	746
953	15159	730
954	15179	715
955	15196	699
956	15216	683
957	15234	667
958	15251	652
959	15267	636
960	15280	620
961	15295	604
962	15308	588
963	15322	572
964	15334	556
965	15347	540
966	15362	524
967	15378	508
968	15391	492
969	15405	476
970	15419	460
